label_name	head	relation	tail	response
drum	drum	event composed of	tom tom	Yes.
crackle	crackle	generated by	television	Yes.
tapping	tapping	is a type of	percussive	Yes.
fire	fire	has children	crackle	Yes.
bus	bus	originates from	bus stop	Yes.
engine idling	engine idling	has subtype	truck engine idling	Yes.
silence	silence	occurs in	office	Yes.
doorbell	doorbell	has parent	bell ringing	Yes.
electric guitar	electric guitar	overlaps with	rock music	Yes.
cymbal	cymbal	is a type of	musical element	Yes.
crackle	crackle	warns about	power outage	Yes.
percussion	percussion	has subtype	xylophone	Yes.
child voice	child voice	has subtype	children shouting	Yes.
human activities	human activities	has children	rope skipping	Yes.
steelpan	steelpan	warns about	volcanic eruption warning	Yes.
clapping	clapping	belongs to class	human non-speech sounds	Yes.
dog bowing	dog bowing	has parent	dog	Yes.
hammering	hammering	produced during	masonry	Yes.
object impact	object impact	has duration	medium	Yes.
flute	flute	occurs in	jazz club	Yes.
civil defense siren ringing	civil defense siren ringing	belongs to class	alarm signal	Yes.
large vehicle	large vehicle	has subtype	truck brake	Yes.
bagpipes	bagpipes	part of scene	parade	Yes.
sitar	sitar	produces	musical instrument	Yes.
alarm signal	alarm signal	has children	vehicle horn	Yes.
sliding door	sliding door	occurs in	station hall	Yes.
snowmobile	snowmobile	occurs in	snowy mountain	Yes.
explosion	explosion	has children	volcano explosion	Yes.
walking	walking	event composed of	footsteps	Yes.
snare drum	snare drum	has children	rimshot	Yes.
cat meowing	cat meowing	caused by	cat vocalization	Yes.
chopping food	chopping food	occurs in	home	Yes.
vehicle	vehicle	has subtype	airplane	Yes.
car engine idling	car engine idling	occurs in	car interior	Yes.
salsa music	salsa music	event composed of	bass	Yes.
hammering	hammering	occurs in	construction zone	Yes.
pouring water	pouring water	generated by	bucket	Yes.
air conditioning	air conditioning	produced during	indoor environments	Yes.
hum	hum	has parent	onomatopoeia	Yes.
microphone	microphone	occurs in	radio broadcast	Yes.
crowd	crowd	has subtype	people cheering	Yes.
electronic music	electronic music	has subtype	techno	Yes.
whistle	whistle	produced during	blowing	Yes.
cattle mooing	cattle mooing	generated by	cows	Yes.
whoop	whoop	has sibling	shouting	Yes.
piano	piano	scene contains	concert hall	Yes.
trombone	trombone	overlaps with	brass music	Yes.
grunting	grunting	occurs in	wrestling match	Yes.
noise	noise	has subtype	white or pink noise	Yes.
traffic noise	traffic noise	event composed of	screeching brakes	Yes.
horse nicker	horse nicker	belongs to class	horse	Yes.
drum and bass	drum and bass	has sibling	electronic music	Yes.
ping	ping	has parent	brief tone	Yes.
dog yipping	dog yipping	localized in	beach	Yes.
snowmobile	snowmobile	caused by	snowfall	Yes.
animal	animal	has subtype	fly housefly	Yes.
musical instrument	musical instrument	has subtype	vibraphone	Yes.
